dataset,elapsed_ms_total,inflation,mean_cost_sum,mean_cost_sum_astar,mean_path_len_cells,mean_path_len_cells_astar,mean_path_len_cells_rrtstar,mean_time_ms,mean_time_ms_astar,mean_time_ms_rrtstar,n,num_scenes,planner,pred_dir,run_tag,source,split,success_rate,success_rate_astar,success_rate_rrtstar,threshold
kitti,31.166500004474074,2,,7.277598357200622,,28.5445742854949,34.19677690463314,,0.6408200075384229,4.753480001818389,5,5,both,,,labels,train,,1.0,1.0,0.5
kitti,14029.276799992658,2,,,,,,,,24.071942725703853,433,433,both,predictions\kitti\val,,pred,val,,0.0,0.0,0.4
kitti,20194.05829999596,2,,7.912660149564134,,28.151414128640496,32.37848667739859,,0.6842144599453692,45.82575935361999,433,433,both,predictions\kitti\unet_rgbd_retrain_full\val,unet_rgbd_retrain_full,pred,val,,0.5427251732101617,0.5404157043879908,0.4
kitti,13830.26470002369,2,,,,,,,,23.68048314092784,433,433,both,predictions\kitti\val,,pred,val,,0.0,0.0,0.5
kitti,22509.247899986804,2,,11.416646560246798,,34.4876007717985,41.476798553903265,,1.1594536081372513,50.76810531109823,433,433,both,predictions\kitti\unet_rgbd_retrain_full\val,unet_rgbd_retrain_full,pred,val,,0.6443418013856813,0.6420323325635104,0.5
kitti,17265.46550000785,2,,7.850437665979068,,27.78120269242457,34.052543456231525,,0.8600942528573796,38.51976374135456,433,433,both,predictions\kitti\unet_rgbd_retrain\val,unet_rgbd_retrain,pred,val,,0.7967667436489607,0.7967667436489607,0.5
kitti,16581.245000008494,2,,10.232611068375203,,30.77700443571737,37.875678998277614,,1.0373500009030052,36.79894780659216,433,433,both,,,labels,val,,0.836027713625866,0.836027713625866,0.6
kitti,14115.909099986311,2,,,,,,,,24.127600691913074,433,433,both,predictions\kitti\val,,pred,val,,0.0,0.0,0.6
kitti,21693.32430002396,2,,13.218028926052327,,35.64916584944164,43.17585418517328,,1.2766922419809137,48.623583833463854,433,433,both,predictions\kitti\unet_rgbd_retrain_full\val,unet_rgbd_retrain_full,pred,val,,0.7944572748267898,0.7852193995381063,0.6
nyu,3930.9259000001475,2,,9.24877609014511,,29.852795795510765,34.37606587861399,,0.7612749977852218,155.98350399872288,25,25,both,,,labels,train,,0.8,0.8,0.5
nyu,4420.751400000881,2,,33.74660534370602,,132.15385170730184,152.9980157452148,,17.998059056781774,14.340205343781424,131,131,both,predictions\nyu\val,,pred,val,,0.9694656488549618,0.9694656488549618,0.4
nyu,19593.50389998872,2,,7.237427211435217,,29.347243848722925,35.230452975526894,,2.0578452624919774,140.2389534354967,131,131,both,predictions\nyu\vit\val,vit,pred,val,,0.7251908396946565,0.7251908396946565,0.4
nyu,4302.487899985863,2,,37.215654976665974,,124.72509461966999,145.65904401580113,,17.38545234366029,13.62641068719299,131,131,both,predictions\nyu\val,,pred,val,,0.9770992366412213,0.9770992366412213,0.5
nyu,6582.668100018054,2,,9.472337851921717,,30.57350647362942,37.882961212833756,,2.354104166928058,47.237964884426006,131,131,both,predictions\nyu\vit\val,vit,pred,val,,0.916030534351145,0.916030534351145,0.5
nyu,5432.481499999994,2,,43.62266743733333,,132.26326609058904,152.57344659127,,23.88418307662225,15.275102290004947,131,131,both,predictions\nyu\val,,pred,val,,0.9923664122137404,0.9923664122137404,0.6
nyu,7773.273099999642,2,,11.836099523650713,,34.53309181606376,42.762196929625304,,2.958284296992058,55.742336640388615,131,131,both,predictions\nyu\vit\val,vit,pred,val,,0.9236641221374046,0.9236641221374046,0.6
nyu,64.58760000532493,2,6.886842091878255,,40.03336809769658,,,9.853279998060316,,,5,5,rrtstar,,,labels,val,0.6,,,0.5
nyu,6287.4138000188395,2,,7.346450407611261,,29.33622503343718,35.6891941348548,,0.8110039605814411,46.762873284440516,131,131,both,,,labels,val,,0.7709923664122137,0.7709923664122137,0.4
nyu,5466.596099955495,2,,8.676014656630846,,34.70154635017507,41.12127560493054,,1.099304808751465,40.39639618357942,131,131,both,predictions\nyu\unet_rgb\val,unet_rgb,pred,val,,0.7938931297709924,0.7938931297709924,0.4
nyu,7068.840000021737,2,,7.674561665922988,,31.066441708177795,37.598210063861025,,0.8681813698928511,52.81404121814452,131,131,both,predictions\nyu\vit_rgbd\val,vit_rgbd,pred,val,,0.7786259541984732,0.7786259541984732,0.4
nyu,3859.9106000037864,2,,7.48265395186982,,29.65989270857914,35.087267033572246,,0.7323858461052812,28.416770230001195,131,131,both,predictions\nyu\vit_rgb\val,vit_rgb,pred,val,,0.8091603053435115,0.8091603053435115,0.4
nyu,3742.3113000113517,2,,9.115806738535563,,31.20694611813091,38.167790884784736,,0.9756572659000053,27.0843404564715,131,131,both,,,labels,val,,0.8931297709923665,0.8931297709923665,0.5
nyu,5963.119099964388,2,,8.102627992067697,,27.926590688745073,34.21189735901771,,0.8738075425839579,44.35146565172281,131,131,both,predictions\nyu\unet_rgb\val,unet_rgb,pred,val,,0.8091603053435115,0.8091603053435115,0.5
nyu,6558.428000018466,2,,9.204094259538383,,30.78712894475779,38.053103052068145,,0.9338149526722241,48.80657938899088,131,131,both,predictions\nyu\vit_rgbd\val,vit_rgbd,pred,val,,0.816793893129771,0.816793893129771,0.5
nyu,6857.373800012283,2,,9.789017828005665,,33.7205389247324,41.44973411187857,,1.0719198139410746,50.997588548894605,131,131,both,predictions\nyu\vit_rgb\val,vit_rgb,pred,val,,0.8091603053435115,0.8091603053435115,0.5
